plot,subplot,cover,type,biomass
bm_01_s,1,2,shrub,0.16
bm_01_s,2,10,shrub,4.83
bm_01_s,5,4,shrub,1.37
bm_02_g,1,15,grass,5.34
bm_02_g,2,18,grass,4.88
bm_02_g,3,14,grass,3.33
bm_02_g,4,23,grass,3.3
bm_02_g,5,19,grass,3.8
bm_03_s,1,0.5,shrub,0.04
bm_03_s,2,5,shrub,0.8
bm_03_s,3,5,shrub,1.2
bm_03_s,4,5,shrub,1.52
bm_03_s,5,1,shrub,0.08
bm_04_g,1,1,grass,0.2
bm_04_g,2,1,grass,0.21
bm_04_g,4,1,grass,0.52
bm_04_g,5,1,grass,0.43
bm_05_g,1,11,grass,3.91
bm_05_g,2,9,grass,3.88
bm_05_g,3,9,grass,3.55
bm_05_g,4,8,grass,4.54
bm_05_g,5,19,grass,7.5
bm_06_g,1,7,grass,5.51
bm_06_g,2,5,grass,2.96
bm_06_g,3,7,grass,4.9
bm_06_g,4,6,grass,NA
bm_06_g,5,3,grass,NA
bm_07_s,1,0.5,shrub,0.01
bm_07_s,2,1,shrub,0.05
bm_07_s,3,0.5,shrub,0.11
bm_07_s,4,1,shrub,NA
bm_07_s,5,0.5,shrub,NA
bm_08_s,1,0.5,shrub,0.06
bm_08_s,2,2.5,shrub,0.64
bm_08_s,3,1,shrub,0.24
bm_08_s,4,1,shrub,0.58
bm_08_s,5,1,shrub,0.32
bm_09_g,1,16,grass,4.84
bm_09_g,2,12,grass,3.61
bm_09_g,3,7,grass,4.61
bm_09_g,4,17,grass,5.03
bm_09_g,5,18,grass,8.25
bm_10_s,5,8,shrub,3.9
bm_11_g,1,10,grass,3.75
bm_11_g,2,2,grass,0.48
bm_11_g,3,6,grass,2.49
bm_11_g,4,12.5,grass,3.83
bm_11_g,5,4,grass,1.03
bm_12_s,1,2,shrub,0.66
bm_12_s,2,8,shrub,1.49
bm_12_s,3,6,shrub,0.52
bm_12_s,4,1,shrub,0.22
bm_12_s,5,12,shrub,2.14
bm_13_g,1,10,grass,3.3
bm_13_g,2,14,grass,6.02
bm_13_g,3,11,grass,4.25
bm_13_g,4,9,grass,1.11
bm_13_g,5,12,grass,5.11
bm_14_s,1,6,shrub,0.15
bm_14_s,3,1,shrub,NA
bm_15_s,1,13,shrub,4.8
bm_15_s,2,12,shrub,4.01
bm_15_s,3,4,shrub,0.73
bm_15_s,4,3,shrub,NA
bm_15_s,5,10,shrub,1.95
bm_16_g,1,2,grass,0.42
bm_16_g,2,0.5,grass,0.09
bm_16_g,3,3,grass,1.26
bm_16_g,4,1,grass,0.23
bm_16_g,5,5,grass,1.42
bm_18_s,1,8.5,shrub,1.1
bm_18_s,2,5,shrub,1.65
bm_18_s,3,4.5,shrub,1.69
bm_18_s,4,10,shrub,NA
bm_18_s,5,2.5,shrub,NA
bm_19_s,1,9,shrub,3.3
bm_19_s,2,9,shrub,1.86
bm_19_s,3,8,shrub,1.84
bm_19_s,4,3,shrub,4.66
bm_19_s,5,11,shrub,6.38
bm_20_s,1,5,shrub,0.89
bm_20_s,2,24,shrub,6.7
bm_20_s,3,8,shrub,3.5
bm_20_s,4,14,shrub,3.41
bm_20_s,5,17,shrub,4.33
bm_21_g,1,15,grass,2.18
bm_21_g,2,12,grass,3.17
bm_21_g,3,25,grass,5.68
bm_21_g,4,17,grass,3.61
bm_21_g,5,18,grass,5.26
bm_22_g,1,14,grass,6.06
bm_22_g,2,17,grass,8.62
bm_22_g,3,20,grass,7.35
bm_22_g,4,12,grass,3.38
bm_22_g,5,16,grass,7.66
bm_23_s,1,NA,shrub,1.49
bm_23_s,2,NA,shrub,1.46
bm_23_s,3,NA,shrub,13.06
bm_23_s,4,NA,shrub,NA
bm_23_s,5,NA,shrub,NA
bm_24_g,1,4,grass,1.32
bm_24_g,2,15,grass,6.01
bm_24_g,3,4,grass,1.29
bm_24_g,4,5,grass,3.71
bm_24_g,5,1,grass,1.06
bm_25_s,1,1,shrub,0.06
bm_25_s,2,0.5,shrub,0.04
bm_25_s,3,1,shrub,0.06
bm_26_g,1,13,grass,1.35
bm_26_g,2,17,grass,2.51
bm_26_g,3,5,grass,1.79
bm_26_g,4,7,grass,3.13
bm_26_g,5,9,grass,3.25
bm_29_s,1,2,shrub,0.28
bm_29_s,2,4,shrub,0.91
bm_29_s,3,5,shrub,1.17
bm_29_s,4,2,shrub,0.82
bm_29_s,5,7,shrub,1.72
bm_31_g,1,7,grass,1.82
bm_31_g,2,7,grass,2.11
bm_31_g,3,6,grass,3.04
bm_31_g,4,17,grass,4.15
bm_31_g,5,10,grass,1.6
bm_32_g,1,2,grass,0.51
bm_32_g,2,9,grass,3.65
bm_32_g,3,8,grass,2.48
bm_32_g,4,4,grass,4
bm_32_g,5,6,grass,2.99
bm_33_g,1,5,grass,1.17
bm_33_g,2,3,grass,1.94
bm_33_g,3,7,grass,1.57
bm_33_g,4,6,grass,1.91
bm_33_g,5,2,grass,1.49
bm_34_s,1,3,shrub,0.55
bm_34_s,2,3,shrub,0.53
bm_34_s,3,6,shrub,0.42
bm_34_s,4,2,shrub,0.97
bm_34_s,5,2,shrub,0.78
bm_35_s,1,2,shrub,0
bm_35_s,2,1,shrub,0.5
bm_35_s,3,2,shrub,NA
bm_35_s,4,0.5,shrub,0.05
bm_35_s,5,1,shrub,0.07
bm_36_s,2,1,shrub,0.05
bm_36_s,3,1,shrub,0.06
bm_37_g,1,17,grass,5.5
bm_37_g,2,15,grass,3.41
bm_37_g,3,32,grass,17.54
bm_37_g,4,14,grass,8.94
bm_37_g,5,24,grass,9.74
bm_39_g,1,11,grass,2.4
bm_39_g,2,12,grass,2.1
bm_39_g,3,13,grass,2.02
bm_39_g,4,17,grass,3.17
bm_39_g,5,8,grass,1.41
bm_40_s,1,1,shrub,0.17
bm_40_s,2,1,shrub,0.06
bm_40_s,3,1,shrub,0.17
bm_40_s,4,12,shrub,7.76
bm_40_s,5,5,shrub,3.67
